[공통 DB 연결] process.env.DB_NAME: bettingDB
[누락리그] K리그1의 SportsDB 리그ID를 찾을 수 없음
[정규화] Los Angeles Dodgers vs San Diego Padres | main: soccer | sub: KLEAGUE1
[정규화] Pallacanestro Brescia vs Virtus Pallacanestro Bologna | main: soccer | sub: KLEAGUE1
[정규화] BC Žalgiris vs BC Lietuvos rytas | main: soccer | sub: KLEAGUE1
[정규화] Oklahoma City Thunder vs Indiana Pacers | main: soccer | sub: KLEAGUE1
[정규화] Boca Juniors vs Ferro Carril Oeste | main: soccer | sub: KLEAGUE1
[정규화] Baloncesto Málaga vs Real Madrid Baloncesto | main: soccer | sub: KLEAGUE1
[정규화] Fenerbahçe Basketbol vs Besiktas Basketbol | main: soccer | sub: KLEAGUE1
[정규화] Hampshire t20 vs Surrey t20 | main: soccer | sub: KLEAGUE1
[정규화] Munster Reds vs North West Warriors | main: soccer | sub: KLEAGUE1
[정규화] Leinster Lightning vs Northern Knights | main: soccer | sub: KLEAGUE1
[정규화] Seattle Orcas vs Texas Super Kings | main: soccer | sub: KLEAGUE1
[정규화] Australia Hockey vs Ireland Hockey | main: soccer | sub: KLEAGUE1
[정규화] England Hockey vs Netherlands Hockey | main: soccer | sub: KLEAGUE1
[정규화] Belgium Hockey vs Spain Hockey | main: soccer | sub: KLEAGUE1
[정규화] Jeonbuk Hyundai Motors vs Suwon FC | main: soccer | sub: KLEAGUE1
[정규화] Daegu FC vs Pohang Steelers | main: soccer | sub: KLEAGUE1
[정규화] Beijing Guoan vs Qingdao West Coast | main: soccer | sub: KLEAGUE1
[정규화] Diredawa Ketema vs Shire Endaselassie | main: soccer | sub: KLEAGUE1
[정규화] Deportes Copiapó vs San Luis de Quillota | main: soccer | sub: KLEAGUE1
[정규화] Georgia U21 vs Portugal U21 | main: soccer | sub: KLEAGUE1
[정규화] Kuressaare vs Tartu JK Tammeka | main: soccer | sub: KLEAGUE1
[정규화] FK Metta vs BFC Daugavpils | main: soccer | sub: KLEAGUE1
[정규화] Tukums vs FS Jelgava | main: soccer | sub: KLEAGUE1
[정규화] Super Nova vs FK Liepāja | main: soccer | sub: KLEAGUE1
[정규화] Volta Redonda vs Avaí | main: soccer | sub: KLEAGUE1
[정규화] Gualaceo vs Imbabura | main: soccer | sub: KLEAGUE1
[정규화] Sporting JAX vs Brooke House | main: soccer | sub: JLEAGUE
[정규화] ES Mostaganem vs JS Kabylie | main: soccer | sub: KLEAGUE1
[정규화] Quanzhou Yassin vs Wenzhou FC | main: soccer | sub: KLEAGUE1
[정규화] Duhok vs Al-Minaa | main: soccer | sub: KLEAGUE1
[정규화] Sueño FC vs River Light | main: soccer | sub: KLEAGUE1
[정규화] Twin City Toucans vs Corpus Christi FC | main: soccer | sub: KLEAGUE1
[정규화] Portland Bangers vs Tacoma Stars | main: soccer | sub: KLEAGUE1
[정규화] Vermont Green vs Western Mass Pioneers | main: soccer | sub: KLEAGUE1
[정규화] Akron City vs FC Buffalo | main: soccer | sub: KLEAGUE1
[정규화] AFC Ann Arbor vs Midwest United | main: soccer | sub: KLEAGUE1
[정규화] Lansing City Football vs Kalamazoo FC | main: soccer | sub: KLEAGUE1
[정규화] Manhattan SC vs FC Motown II | main: soccer | sub: KLEAGUE1
[정규화] Montevideo Wanderers vs Defensor Sporting | main: soccer | sub: KLEAGUE1
[정규화] Jamaica vs Guatemala | main: soccer | sub: KLEAGUE1
